學校名稱,系所(組)名稱,107學年度核定招生名額,班數,大學多元入學-考試分發入學,大學多元入學-繁星推薦入學,大學多元入學-個人申請入學-一般,大學多元入學-個人申請入學-青年儲蓄帳戶組,四技二專-甄選入學,四技二專-登記分發入學,四技二專-技優入學,四技二專-青年儲蓄帳戶組,運動績優-甄試,運動績優-單獨招生,單獨招生-全校單招,單獨招生-學系單招,單獨招生-特殊選才,單獨招生-其他,外加名額-大學多元入學-繁星推薦入學,外加名額-大學多元入學-個人申請入學,外加名額-大學多元入學-單獨招生,外加名額-四技二專技優入學
高雄醫學大學,學士後醫學系,60,1,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0
高雄醫學大學,醫學系,126,3,30,20,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高雄醫學大學,運動醫學系,55,1,12,5,30,0,0,0,0,0,6,0,0,0,2,0,1,0,0,0
高雄醫學大學,呼吸治療學系,50,1,17,8,25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
高雄醫學大學,牙醫學系,85,3,39,10,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
高雄醫學大學,口腔衛生學系,47,1,10,10,27,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0
高雄醫學大學,藥學系,122,3,27,10,85,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
高雄醫學大學,香粧品學系,68,2,19,9,40,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
高雄醫學大學,護理學系,70,2,28,7,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
高雄醫學大學,公共衛生學系,53,1,18,10,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
高雄醫學大學,醫學檢驗生物技術學系,40,1,11,6,23,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
高雄醫學大學,醫學影像暨放射科學系,40,1,6,7,27,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
高雄醫學大學,職能治療學系,45,1,21,9,15,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
高雄醫學大學,物理治療學系,40,1,12,7,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
高雄醫學大學,醫務管理暨醫療資訊學系,60,1,5,20,28,0,4,0,0,0,0,0,0,0,3,0,2,2,0,0
高雄醫學大學,醫藥暨應用化學系應用化學組,52,1,11,12,26,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0
高雄醫學大學,醫藥暨應用化學系醫藥化學組,53,1,11,12,26,0,1,0,0,0,0,0,0,0,3,0,1,2,0,0
高雄醫學大學,生物醫學暨環境生物學系,51,1,13,17,22,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
高雄醫學大學,生物科技學系,48,1,14,17,15,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0
高雄醫學大學,心理學系,56,1,17,9,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
高雄醫學大學,醫學社會學與社會工作學系,60,1,19,6,35,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
南華大學,資訊工程學系,84,3,3,10,91,1,0,0,4,0,0,0,0,0,2,0,2,4,0,0
南華大學,自然生物科技學系,60,1,1,11,41,0,5,0,0,0,0,0,0,0,2,0,1,1,0,0
南華大學,資訊管理學系,60,2,4,6,26,0,2,0,12,0,0,0,0,0,0,0,2,2,0,0
南華大學,民族音樂學系,50,1,0,1,14,0,0,0,0,0,0,0,0,33,0,0,1,2,0,0
南華大學,建築與景觀學系,60,1,2,10,30,0,12,0,6,0,0,0,0,0,0,0,2,2,0,0
南華大學,產品與室內設計學系,50,1,0,6,6,0,0,0,0,0,0,0,0,38,0,0,1,4,0,0
南華大學,視覺藝術與設計學系,45,1,0,7,6,0,0,0,2,0,0,0,0,32,0,0,1,3,0,0
南華大學,財務金融學系,50,1,3,8,35,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0
南華大學,企業管理學系,50,2,4,6,35,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
南華大學,文化創意事業管理學系,60,1,3,6,34,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
南華大學,旅遊管理學系,60,1,1,6,40,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0
南華大學,運動與健康促進學士學位學程,35,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
南華大學,管理學院國際企業學士學位學程,15,1,0,7,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
南華大學,生死學系社會工作組,50,1,2,5,40,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0
南華大學,生死學系諮商組,40,1,2,6,32,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
南華大學,生死學系殯葬服務組,60,1,4,12,38,0,2,0,4,0,0,0,0,0,0,0,1,4,0,0
南華大學,幼兒教育學系,50,1,2,6,37,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
南華大學,文學系,40,1,2,5,33,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
南華大學,外國語文學系,50,1,3,9,33,0,5,0,0,0,0,0,0,0,0,0,1,2,0,0
南華大學,應用社會學系社會工作組,42,1,2,5,31,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0
南華大學,應用社會學系社會學組,28,1,2,2,20,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
南華大學,傳播學系,50,1,3,6,35,0,0,0,4,0,0,0,0,0,2,0,1,3,0,0
南華大學,國際事務與企業學系,42,1,2,5,33,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
真理大學(臺北),人文與資訊學系　,48,1,7,6,20,0,4,0,0,0,0,3,0,0,0,0,1,2,0,0
真理大學(臺北),工業管理與經營資訊學系,86,2,29,6,39,0,3,0,0,0,0,3,0,0,0,0,2,4,0,0
真理大學(臺北),台灣文學系,45,1,11,6,21,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0
真理大學(臺北),企業管理學系,112,2,18,9,39,0,10,0,0,0,0,4,0,0,0,0,2,4,0,2
真理大學(臺北),宗教文化與資訊管理學系,40,1,0,6,19,0,0,0,0,0,0,1,0,14,0,0,1,2,0,0
真理大學(臺北),法律學系,116,2,49,16,45,0,5,0,0,0,0,1,0,0,0,0,2,4,0,0
真理大學(臺北),英美語文學系,90,2,27,13,38,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0
真理大學(臺北),音樂應用學系,50,1,12,2,31,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
